node_id,cycle_id,FFc,dFF,rho_recv,tau,lambda_t_norm,is_attacker
64,3,1.0,0.0,0.6667,1.0,0.0004,0
67,3,1.0,0.3333,1.0,1.0,0.0004,0
70,3,1.0,0.0,1.0,1.0,0.0004,0
72,3,0.0,0.0,1.0,1.0,0.0004,1
73,3,1.0,0.1,1.0,1.0,0.0004,0
75,3,1.0,0.1071,0.7857000000000001,1.0,0.0004,0
79,3,1.0,0.0,1.0,1.0,0.0004,0
94,3,1.0,0.0,0.6667,1.0,0.0004,0
108,3,1.0,0.0,1.0,1.0,0.0004,0
110,3,1.0,0.0,1.0,1.0,0.0004,1
111,3,1.0,0.0,1.0,1.0,0.0004,0
112,3,1.0,0.1389,0.6667,1.0,0.0004,0
118,3,1.0,0.0,1.0,1.0,0.0004,0
121,3,1.0,0.381,1.0,1.0,0.0004,0
122,3,0.5,1.0,1.0,1.0,0.0004,1
123,3,1.0,0.0952,0.7778,1.0,0.0004,0
126,3,1.0,0.0,1.0,1.0,0.0004,0
129,3,1.0,0.8889,1.0,1.0,0.0004,1
130,3,1.0,0.0,1.0,1.0,0.0004,0
132,3,1.0,0.0,1.0,1.0,0.0004,1
139,3,1.0,0.0,1.0,1.0,0.0004,0
140,3,1.0,0.0,1.0,1.0,0.0004,0
141,3,1.0,0.8571,1.0,1.0,0.0004,0
143,3,1.0,0.0,1.0,1.0,0.0004,0
152,3,0.07690000000000001,0.4231,0.7692,1.0,0.0004,1
154,3,1.0,0.0,1.0,1.0,0.0004,1
155,3,1.0,0.2667,1.0,1.0,0.0004,0
159,3,1.0,0.0,1.0,1.0,0.0004,0
168,3,1.0,0.8462,1.0,1.0,0.0004,1
184,3,1.0,0.0,1.0,1.0,0.0004,0
188,3,1.0,0.0,1.0,1.0,0.0004,0
193,3,1.0,0.8333,1.0,1.0,0.0004,1
195,3,1.0,1.0,1.0,1.0,0.0004,1
197,3,0.0,0.0,1.0,1.0,0.0004,1
198,3,1.0,0.25,1.0,1.0,0.0004,0
228,3,0.0,0.0,1.0,1.0,0.0004,1
240,3,1.0,0.0,1.0,1.0,0.0004,0
241,3,1.0,0.0,1.0,1.0,0.0004,0
247,3,1.0,0.0,1.0,1.0,0.0004,0
249,3,0.125,0.3036,0.875,1.0,0.0004,1
250,3,1.0,0.2597,1.0,1.0,0.0004,0
251,3,1.0,0.1333,1.0,1.0,0.0004,0
252,3,1.0,0.0,1.0,1.0,0.0004,0
258,3,1.0,0.3333,1.0,1.0,0.0004,0
260,3,1.0,0.0,1.0,1.0,0.0004,0
261,3,1.0,0.075,1.0,1.0,0.0004,0
262,3,1.0,1.0,1.0,1.0,0.0004,1
269,3,1.0,0.8333,1.0,1.0,0.0004,0
271,3,0.0,0.0,0.8333,1.0,0.0004,1
272,3,1.0,0.0,1.0,1.0,0.0004,0
273,3,1.0,0.0375,0.9375,1.0,0.0004,0
284,3,1.0,0.2667,1.0,1.0,0.0004,0
1,4,1.0,0.0833,0.75,1.0,0.0,0
3,4,1.0,0.0,0.6667,1.0,0.0,1
5,4,0.16670000000000001,0.8333,0.1667,1.0,0.0,1
6,4,1.0,0.0,0.75,1.0,0.0,0
7,4,1.0,0.1778,0.5556,1.0,0.0,0
10,4,1.0,0.0,0.2222,1.0,0.0,0
12,4,0.0,0.0,1.0,1.0,0.0,1
15,4,1.0,0.0,1.0,1.0,0.0,1
17,4,1.0,0.0,0.8,1.0,0.0,0
23,4,1.0,0.1667,1.0,1.0,0.0,0
27,4,0.0,0.0,0.3333,1.0,0.0,1
30,4,1.0,0.0,1.0,1.0,0.0,0
35,4,1.0,0.0,0.75,1.0,0.0,0
36,4,1.0,0.0,1.0,1.0,0.0,0
38,4,1.0,0.0,1.0,1.0,0.0,0
41,4,0.0,0.0,0.8,1.0,0.0,1
42,4,1.0,0.0,1.0,1.0,0.0,0
44,4,1.0,0.0,0.5,1.0,0.0,0
46,4,1.0,0.8,1.0,1.0,0.0,0
47,4,1.0,0.0,0.6667,1.0,0.0,0
55,4,1.0,0.0,1.0,1.0,0.0,1
62,4,1.0,0.0,1.0,1.0,0.0,0
67,4,1.0,0.0,1.0,1.0,0.0,0
72,4,0.0,0.0,1.0,1.0,0.0,1
73,4,1.0,0.25,1.0,1.0,0.0,0
74,4,1.0,0.0,1.0,1.0,0.0,1
75,4,1.0,0.1143,0.7143,1.0,0.0,0
77,4,1.0,0.5,1.0,1.0,0.0,1
82,4,1.0,0.2007,0.5652,1.0,0.0,0
85,4,1.0,0.0,1.0,1.0,0.0,0
88,4,1.0,0.0,1.0,1.0,0.0,1
93,4,1.0,0.75,1.0,1.0,0.0,0
94,4,1.0,0.9,1.0,1.0,0.0,0
95,4,1.0,0.0,1.0,1.0,0.0,1
97,4,1.0,0.0,1.0,1.0,0.0,0
99,4,1.0,0.0,1.0,1.0,0.0,0
102,4,1.0,0.7778,1.0,1.0,0.0,1
108,4,1.0,0.25,1.0,1.0,0.0,0
110,4,1.0,0.0,1.0,1.0,0.0,1
111,4,1.0,0.2597,1.0,1.0,0.0,0
115,4,1.0,1.0,1.0,1.0,0.0,1
118,4,1.0,0.0,1.0,1.0,0.0,0
119,4,1.0,0.0,0.1111,1.0,0.0,0
121,4,1.0,0.7143,1.0,1.0,0.0,0
