node_id,cycle_id,FFc,dFF,DelayInfl,tau,lambda_t_norm,is_attacker,rho_recv,node_pdr,sum_abs_ff_deviation_normalized
73,5,1.0,0.0,0.4175637897211913,1.0,0.004,0,1.0,100.0,0.0
77,5,1.0,0.8333,0.38837738634732505,1.0,0.004,0,1.0,100.0,0.8333
80,5,1.0,0.0,0.3182479955707754,1.0,0.004,1,1.0,100.0,0.0
81,5,1.0,1.0,0.29241085160046754,1.0,0.004,1,1.0,100.0,1.0
84,5,1.0,0.0,0.46804191358910746,1.0,0.004,0,1.0,100.0,0.0
85,5,1.0,0.0,0.3961695408780528,1.0,0.004,0,1.0,100.0,0.0
88,5,1.0,0.0,0.4025702392425792,1.0,0.004,0,0.375,100.0,0.0
89,5,1.0,0.0,0.3639756392642566,1.0,0.004,0,1.0,100.0,0.0
94,5,1.0,0.0583,0.4091564650959324,1.0,0.004,1,0.6667,100.0,0.0583
108,5,1.0,0.0,0.642237578690508,1.0,0.004,0,1.0,100.0,0.0
110,5,1.0,0.0,0.3773043246457646,1.0,0.004,0,1.0,100.0,0.0
112,5,1.0,0.8,0.37894477823118095,1.0,0.004,1,1.0,100.0,0.8
115,5,1.0,0.0,0.4215965714520065,1.0,0.004,0,1.0,100.0,0.0
118,5,1.0,0.0,0.5110012918571986,1.0,0.004,0,1.0,100.0,0.0
121,5,1.0,0.0833,0.394836672339902,1.0,0.004,1,1.0,100.0,0.0833
122,5,1.0,0.0,0.3676666598314434,1.0,0.004,0,1.0,100.0,0.0
126,5,1.0,0.2083,0.39547747452170523,1.0,0.004,0,0.375,100.0,0.2083
127,5,1.0,0.0,0.44167635428118956,1.0,0.004,0,0.4615,100.0,0.0
129,5,1.0,0.0,0.3592593352061845,1.0,0.004,0,1.0,100.0,0.0
138,5,1.0,0.0,0.4049869788996658,1.0,0.004,0,1.0,100.0,0.0
140,5,1.0,0.0,0.48659954477413014,1.0,0.004,0,1.0,100.0,0.0
152,5,1.0,0.0857,0.4036746160313327,1.0,0.004,0,1.0,100.0,0.0857
154,5,1.0,0.0,0.34757110341009295,1.0,0.004,0,1.0,100.0,0.0
156,5,1.0,0.0,0.3137367482108803,1.0,0.004,1,1.0,100.0,0.0
159,5,1.0,0.0,0.26944450140463844,1.0,0.004,1,1.0,100.0,0.0
161,5,1.0,0.0,1.3742899911825621,1.0,0.004,0,1.0,100.0,0.0
163,5,1.0,0.8,0.3047142534910903,1.0,0.004,0,1.0,100.0,0.8
168,5,1.0,0.5238,0.3543379744499354,1.0,0.004,0,1.0,100.0,0.5238
184,5,1.0,0.3982,0.3981432115980069,1.0,0.004,0,1.0,100.0,0.3982
187,5,1.0,0.625,0.34907485253005793,1.0,0.004,0,1.0,100.0,0.625
188,5,1.0,0.0,0.47286074599626804,1.0,0.004,0,1.0,100.0,0.0
193,5,1.0,0.0536,0.7347950458301722,1.0,0.004,0,0.875,100.0,0.0536
194,5,1.0,0.75,0.43369491664445226,1.0,0.004,0,1.0,100.0,0.75
195,5,1.0,0.0,0.31732524042897864,1.0,0.004,0,1.0,100.0,0.0
197,5,1.0,0.0,0.4542005864621568,1.0,0.004,0,1.0,100.0,0.0
198,5,1.0,0.0,0.3850964791764923,1.0,0.004,0,1.0,100.0,0.0
240,5,1.0,0.8333,0.5194086164824574,1.0,0.004,0,1.0,100.0,0.8333
251,5,1.0,0.0,0.4928879501848929,1.0,0.004,0,1.0,100.0,0.0
258,5,1.0,0.4048,0.3659578540133014,1.0,0.004,0,1.0,100.0,0.4048
259,5,1.0,0.7692,0.3529025775626961,1.0,0.004,0,1.0,100.0,0.7692
