cycle_id,node_id,agent,gate_fired,action,delta,final_delta
1,59,igh,False,,0.0,0.0
1,60,sp,False,,0.0,0.0
1,60,als,False,,0.0,0.0
1,60,fs,False,,0.0,0.0
1,60,igh,False,,0.0,0.0
1,61,sp,False,,0.0,0.0
1,61,als,False,,0.0,0.0
1,61,fs,False,,0.0,0.0
1,61,igh,False,,0.0,0.0
1,62,sp,False,,0.0,0.0
1,62,als,False,,0.0,0.0
1,62,fs,False,,0.0,0.0
1,62,igh,False,,0.0,0.0
1,63,sp,False,,0.0,0.0
1,63,als,False,,0.0,0.0
1,63,fs,False,,0.0,0.0
1,63,igh,False,,0.0,0.0
1,64,sp,False,,0.0,0.0
1,64,als,False,,0.0,0.0
1,64,fs,False,,0.0,0.0
1,64,igh,False,,0.0,0.0
1,65,sp,False,,0.0,0.0
1,65,als,False,,0.0,0.0
1,65,fs,False,,0.0,0.0
1,65,igh,False,,0.0,0.0
1,66,sp,False,,0.0,0.0
1,66,als,False,,0.0,0.0
1,66,fs,False,,0.0,0.0
1,66,igh,False,,0.0,0.0
1,67,sp,False,,0.0,0.0
1,67,als,False,,0.0,0.0
1,67,fs,False,,0.0,0.0
1,67,igh,False,,0.0,0.0
1,68,sp,False,,0.0,0.0
1,68,als,False,,0.0,0.0
1,68,fs,False,,0.0,0.0
1,68,igh,False,,0.0,0.0
1,69,sp,False,,0.0,0.0
1,69,als,False,,0.0,0.0
1,69,fs,False,,0.0,0.0
1,69,igh,False,,0.0,0.0
1,70,sp,False,,0.0,0.0
1,70,als,False,,0.0,0.0
1,70,fs,False,,0.0,0.0
1,70,igh,False,,0.0,0.0
1,71,sp,False,,0.0,0.0
1,71,als,False,,0.0,0.0
1,71,fs,False,,0.0,0.0
1,71,igh,False,,0.0,0.0
1,72,sp,False,,0.0,0.0
1,72,als,False,,0.0,0.0
1,72,fs,False,,0.0,0.0
1,72,igh,False,,0.0,0.0
1,73,sp,False,,0.0,0.0
1,73,als,False,,0.0,0.0
1,73,fs,False,,0.0,0.0
1,73,igh,False,,0.0,0.0
1,74,sp,False,,0.0,0.0
1,74,als,False,,0.0,0.0
1,74,fs,False,,0.0,0.0
1,74,igh,False,,0.0,0.0
1,75,sp,False,,0.0,0.0
1,75,als,False,,0.0,0.0
1,75,fs,False,,0.0,0.0
1,75,igh,False,,0.0,0.0
1,76,sp,False,,0.0,0.0
1,76,als,False,,0.0,0.0
1,76,fs,False,,0.0,0.0
1,76,igh,False,,0.0,0.0
1,77,sp,False,,0.0,0.0
1,77,als,False,,0.0,0.0
1,77,fs,False,,0.0,0.0
1,77,igh,False,,0.0,0.0
1,78,sp,False,,0.0,0.0
1,78,als,False,,0.0,0.0
1,78,fs,False,,0.0,0.0
1,78,igh,False,,0.0,0.0
1,79,sp,False,,0.0,0.0
1,79,als,False,,0.0,0.0
1,79,fs,False,,0.0,0.0
1,79,igh,False,,0.0,0.0
1,80,sp,False,,0.0,0.0
1,80,als,False,,0.0,0.0
1,80,fs,False,,0.0,0.0
1,80,igh,False,,0.0,0.0
1,81,sp,False,,0.0,0.0
1,81,als,False,,0.0,0.0
1,81,fs,False,,0.0,0.0
1,81,igh,False,,0.0,0.0
1,82,sp,False,,0.0,0.0
1,82,als,False,,0.0,0.0
1,82,fs,False,,0.0,0.0
1,82,igh,False,,0.0,0.0
1,83,sp,False,,0.0,0.0
1,83,als,False,,0.0,0.0
1,83,fs,False,,0.0,0.0
1,83,igh,False,,0.0,0.0
