time_s,tp,tn,fp,fn,dr,fpr,precision,f1,mcc,atk_error_m,rsr,amsr,i_leak,mcar,nsd,detection_ms
72.0000,22,186,13,57,0.2828,0.0669,0.6285,0.3901,0.2914,641.5759,0.0000,0.0000,0.7172,0.9331,0.7164,20.7700
72.5000,23,186,13,56,0.2906,0.0663,0.6370,0.3991,0.3010,641.5759,0.0000,0.0000,0.7094,0.9337,0.7194,18.2862
73.0000,23,186,13,56,0.2969,0.0684,0.6344,0.4045,0.3032,641.5759,0.0000,0.0000,0.7031,0.9316,0.7200,19.5979
73.5000,23,186,13,56,0.2922,0.0656,0.6404,0.4013,0.3040,641.5759,0.0000,0.0000,0.7078,0.9344,0.7203,18.3428
74.0000,24,187,12,55,0.3063,0.0619,0.6644,0.4193,0.3265,641.5759,0.0000,0.0000,0.6937,0.9381,0.7275,20.9532
74.5000,23,185,14,56,0.2906,0.0719,0.6179,0.3953,0.2898,641.5759,0.0000,0.0000,0.7094,0.9281,0.7156,21.4062
75.0000,23,187,12,57,0.2875,0.0616,0.6513,0.3989,0.3075,641.5759,0.0000,0.0000,0.7125,0.9384,0.7215,22.2236
75.5000,23,185,14,56,0.2898,0.0716,0.6183,0.3947,0.2895,641.5759,0.0000,0.0000,0.7102,0.9284,0.7156,20.4310
76.0000,23,186,13,56,0.2898,0.0653,0.6397,0.3989,0.3021,641.5759,0.0000,0.0000,0.7102,0.9347,0.7197,19.0731
76.5000,23,188,11,56,0.2977,0.0553,0.6828,0.4146,0.3315,641.5759,0.0000,0.0000,0.7023,0.9447,0.7290,18.6427
77.0000,23,186,13,56,0.2938,0.0672,0.6362,0.4019,0.3025,641.5759,0.0000,0.0000,0.7063,0.9328,0.7198,18.2909
77.5000,25,185,14,54,0.3141,0.0703,0.6411,0.4216,0.3174,641.5759,0.0000,0.0000,0.6859,0.9297,0.7245,20.7378
78.0000,25,186,13,55,0.3125,0.0688,0.6452,0.4211,0.3189,641.5759,0.0000,0.0000,0.6875,0.9313,0.7250,19.6333
78.5000,24,188,11,56,0.3000,0.0594,0.6690,0.4142,0.3252,641.5759,0.0000,0.0000,0.7000,0.9406,0.7271,18.8923
79.0000,25,185,14,54,0.3148,0.0703,0.6417,0.4224,0.3182,641.5759,0.0000,0.0000,0.6852,0.9297,0.7247,21.0389
79.5000,22,187,12,58,0.2750,0.0606,0.6447,0.3855,0.2960,641.5759,0.0000,0.0000,0.7250,0.9394,0.7179,18.0247
80.0000,23,186,13,56,0.2898,0.0669,0.6342,0.3979,0.2989,641.5759,0.0000,0.0000,0.7102,0.9331,0.7187,20.1998
80.5000,23,187,12,56,0.2969,0.0638,0.6507,0.4077,0.3128,641.5759,0.0000,0.0000,0.7031,0.9363,0.7231,21.0367
81.0000,24,187,12,55,0.3117,0.0606,0.6728,0.4261,0.3347,641.5759,0.0000,0.0000,0.6883,0.9394,0.7302,22.2721
81.5000,23,187,12,56,0.2977,0.0619,0.6580,0.4099,0.3175,641.5759,0.0000,0.0000,0.7023,0.9381,0.7246,17.9489
82.0000,23,186,13,56,0.2977,0.0666,0.6414,0.4066,0.3078,641.5759,0.0000,0.0000,0.7023,0.9334,0.7215,21.7754
82.5000,23,186,13,56,0.2938,0.0659,0.6405,0.4028,0.3050,641.5759,0.0000,0.0000,0.7063,0.9341,0.7206,19.6688
