cycle_id,sim_time_s,detected_at,node_id,flow_id,attack_type,flow_fraction,pdrn,inbound_ratio
1,2.0001,2026-07-17 21:46:21,141,1,Split_Path_Attack,0.2667,0.0667,0.8
1,2.0001,2026-07-17 21:46:21,169,1,Split_Path_Attack,1,0,2
1,2.0001,2026-07-17 21:46:21,182,1,Flow_Stretching_Attack,1,1,2
1,2.0001,2026-07-17 21:46:21,197,1,Split_Path_Attack,1,0,3
1,2.0001,2026-07-17 21:46:21,236,1,Split_Path_Attack,1,0,1
1,2.0001,2026-07-17 21:46:21,249,1,Split_Path_Attack,1,0,3
1,2.0001,2026-07-17 21:46:21,258,1,Split_Path_Attack,1,0,11
1,2.0001,2026-07-17 21:46:21,268,1,Split_Path_Attack,1,0,12
1,2.0001,2026-07-17 21:46:21,289,1,Split_Path_Attack,0.3571,0.1429,0.2857
2,3.0001,2026-07-17 21:47:17,12,0,Split_Path_Attack,1,0,2
2,3.0001,2026-07-17 21:47:17,30,0,Interleaved_Jamming_Attack,1,0,1
2,3.0001,2026-07-17 21:47:17,38,0,Split_Path_Attack,1,0,1
2,3.0001,2026-07-17 21:47:17,41,0,Split_Path_Attack,1,0,0.6
2,3.0001,2026-07-17 21:47:17,75,0,Split_Path_Attack,1,0,4.25
2,3.0001,2026-07-17 21:47:17,111,0,Interleaved_Jamming_Attack,1,0,3
2,3.0001,2026-07-17 21:47:17,118,0,Split_Path_Attack,1,0,2
2,3.0001,2026-07-17 21:47:17,130,0,Split_Path_Attack,1,0,3
2,3.0001,2026-07-17 21:47:17,143,0,Split_Path_Attack,1,0,3
2,3.0001,2026-07-17 21:47:17,155,0,Interleaved_Jamming_Attack,1,0,2.75
2,3.0001,2026-07-17 21:47:17,195,0,Flow_Stretching_Attack,1,1,2
2,3.0001,2026-07-17 21:47:17,240,0,Split_Path_Attack,1,0,4
2,3.0001,2026-07-17 21:47:17,251,0,Interleaved_Jamming_Attack,1,0,2.8
2,3.0001,2026-07-17 21:47:17,268,0,Split_Path_Attack,1,0,16
2,3.0001,2026-07-17 21:47:17,30,1,Interleaved_Jamming_Attack,1,0,2
2,3.0001,2026-07-17 21:47:17,41,1,Split_Path_Attack,1,0,2
2,3.0001,2026-07-17 21:47:17,75,1,Split_Path_Attack,1,0,2
2,3.0001,2026-07-17 21:47:17,111,1,Interleaved_Jamming_Attack,1,0,2.4
2,3.0001,2026-07-17 21:47:17,122,1,Flow_Stretching_Attack,1,1,3
2,3.0001,2026-07-17 21:47:17,130,1,Split_Path_Attack,1,0,2
2,3.0001,2026-07-17 21:47:17,143,1,Split_Path_Attack,1,0,3
2,3.0001,2026-07-17 21:47:17,152,1,Split_Path_Attack,1,0,16
2,3.0001,2026-07-17 21:47:17,155,1,Interleaved_Jamming_Attack,1,0,3
2,3.0001,2026-07-17 21:47:17,195,1,Flow_Stretching_Attack,1,1,3
2,3.0001,2026-07-17 21:47:17,240,1,Split_Path_Attack,1,0,4
2,3.0001,2026-07-17 21:47:17,251,1,Interleaved_Jamming_Attack,1,0,2.125
3,4.0001,2026-07-17 21:47:45,5,0,Split_Path_Attack,1,0,4.5
3,4.0001,2026-07-17 21:47:45,12,0,Split_Path_Attack,0.8,0.2,1
3,4.0001,2026-07-17 21:47:45,30,0,Interleaved_Jamming_Attack,1,0,2
3,4.0001,2026-07-17 21:47:45,38,0,Split_Path_Attack,1,0,1
3,4.0001,2026-07-17 21:47:45,41,0,Split_Path_Attack,1,0,2
3,4.0001,2026-07-17 21:47:45,42,0,Interleaved_Jamming_Attack,1,0,2
3,4.0001,2026-07-17 21:47:45,67,0,Interleaved_Jamming_Attack,1,0,2.5
3,4.0001,2026-07-17 21:47:45,122,0,Flow_Stretching_Attack,1,1,3
3,4.0001,2026-07-17 21:47:45,130,0,Split_Path_Attack,1,0,3
3,4.0001,2026-07-17 21:47:45,143,0,Split_Path_Attack,1,0,3
3,4.0001,2026-07-17 21:47:45,195,0,Flow_Stretching_Attack,1,1,2
3,4.0001,2026-07-17 21:47:45,198,0,Interleaved_Jamming_Attack,1,0,3.6667
3,4.0001,2026-07-17 21:47:45,250,0,Split_Path_Attack,1,0,11
3,4.0001,2026-07-17 21:47:45,251,0,Interleaved_Jamming_Attack,1,0,1.6667
3,4.0001,2026-07-17 21:47:45,31,1,Flow_Stretching_Attack,1,1,1.3333
3,4.0001,2026-07-17 21:47:45,152,1,Split_Path_Attack,0.1389,0.16670000000000001,0.75
3,4.0001,2026-07-17 21:47:45,168,1,Flow_Stretching_Attack,0.9091,1,1.5714
3,4.0001,2026-07-17 21:47:45,250,1,Split_Path_Attack,1,0,5
3,4.0001,2026-07-17 21:47:45,251,1,Interleaved_Jamming_Attack,1,0,1.6
3,4.0001,2026-07-17 21:47:45,261,1,Interleaved_Jamming_Attack,1,0,0.8
4,5.0001,2026-07-17 21:48:17,6,0,Interleaved_Jamming_Attack,1,0,2
4,5.0001,2026-07-17 21:48:17,12,0,Split_Path_Attack,1,0,0.8
4,5.0001,2026-07-17 21:48:17,27,0,Split_Path_Attack,1,0,1
4,5.0001,2026-07-17 21:48:17,34,0,Split_Path_Attack,1,0,1
4,5.0001,2026-07-17 21:48:17,41,0,Split_Path_Attack,0.0833,0.25,1.5
4,5.0001,2026-07-17 21:48:17,122,0,Flow_Stretching_Attack,1,1,2
4,5.0001,2026-07-17 21:48:17,123,0,Interleaved_Jamming_Attack,1,0,3
4,5.0001,2026-07-17 21:48:17,124,0,Interleaved_Jamming_Attack,1,0,6
4,5.0001,2026-07-17 21:48:17,130,0,Split_Path_Attack,1,0,3
4,5.0001,2026-07-17 21:48:17,188,0,Interleaved_Jamming_Attack,1,0,1.5
4,5.0001,2026-07-17 21:48:17,228,0,Split_Path_Attack,1,0,1
4,5.0001,2026-07-17 21:48:17,260,0,Interleaved_Jamming_Attack,1,0,2.4
4,5.0001,2026-07-17 21:48:17,261,0,Interleaved_Jamming_Attack,1,0,2
4,5.0001,2026-07-17 21:48:17,72,1,Split_Path_Attack,1,0,2
4,5.0001,2026-07-17 21:48:17,89,1,Split_Path_Attack,1,0,3
4,5.0001,2026-07-17 21:48:17,127,1,Split_Path_Attack,1,0,0.8333
4,5.0001,2026-07-17 21:48:17,138,1,Split_Path_Attack,1,0,6
4,5.0001,2026-07-17 21:48:17,152,1,Split_Path_Attack,1,0,2.6667
4,5.0001,2026-07-17 21:48:17,169,1,Split_Path_Attack,1,0,3
5,6.0001,2026-07-17 21:48:46,1,0,Interleaved_Jamming_Attack,1,0,2
5,6.0001,2026-07-17 21:48:46,12,0,Split_Path_Attack,1,0,0.6667
5,6.0001,2026-07-17 21:48:46,41,0,Split_Path_Attack,1,0,1.25
5,6.0001,2026-07-17 21:48:46,67,0,Interleaved_Jamming_Attack,1,0,1
5,6.0001,2026-07-17 21:48:46,122,0,Flow_Stretching_Attack,1,1,3
5,6.0001,2026-07-17 21:48:46,123,0,Interleaved_Jamming_Attack,1,0,2
5,6.0001,2026-07-17 21:48:46,198,0,Interleaved_Jamming_Attack,1,0,1.7
5,6.0001,2026-07-17 21:48:46,251,0,Interleaved_Jamming_Attack,0.8571,0.1429,0.4286
5,6.0001,2026-07-17 21:48:46,261,0,Interleaved_Jamming_Attack,1,0,9
5,6.0001,2026-07-17 21:48:46,48,1,Flow_Stretching_Attack,1,1,2
5,6.0001,2026-07-17 21:48:46,89,1,Split_Path_Attack,1,0,2
5,6.0001,2026-07-17 21:48:46,127,1,Split_Path_Attack,1,0,3
5,6.0001,2026-07-17 21:48:46,138,1,Split_Path_Attack,1,0,1.4
5,6.0001,2026-07-17 21:48:46,145,1,Split_Path_Attack,1,0,0.75
5,6.0001,2026-07-17 21:48:46,152,1,Split_Path_Attack,1,0,2.6667
5,6.0001,2026-07-17 21:48:46,251,1,Interleaved_Jamming_Attack,1,0,1.5
5,6.0001,2026-07-17 21:48:46,261,1,Interleaved_Jamming_Attack,1,0,3.5
6,7.0001,2026-07-17 21:49:14,12,0,Split_Path_Attack,1,0,0.5
6,7.0001,2026-07-17 21:49:14,41,0,Split_Path_Attack,1,0,0.5
6,7.0001,2026-07-17 21:49:14,75,0,Interleaved_Jamming_Attack,1,0,2
6,7.0001,2026-07-17 21:49:14,111,0,Interleaved_Jamming_Attack,1,0,1.9
6,7.0001,2026-07-17 21:49:14,122,0,Flow_Stretching_Attack,1,1,1.5
6,7.0001,2026-07-17 21:49:14,123,0,Interleaved_Jamming_Attack,1,0,2
6,7.0001,2026-07-17 21:49:14,240,0,Interleaved_Jamming_Attack,1,0,2
6,7.0001,2026-07-17 21:49:14,251,0,Interleaved_Jamming_Attack,1,0,2
6,7.0001,2026-07-17 21:49:14,12,1,Split_Path_Attack,1,0,1.3333
6,7.0001,2026-07-17 21:49:14,27,1,Split_Path_Attack,1,0,4
6,7.0001,2026-07-17 21:49:14,41,1,Split_Path_Attack,0.3571,0.1429,0.8571
6,7.0001,2026-07-17 21:49:14,111,1,Interleaved_Jamming_Attack,0.3846,0.07690000000000001,1
6,7.0001,2026-07-17 21:49:14,195,1,Flow_Stretching_Attack,1,1,2.5
6,7.0001,2026-07-17 21:49:14,228,1,Split_Path_Attack,1,0,1.6667
6,7.0001,2026-07-17 21:49:14,251,1,Interleaved_Jamming_Attack,1,0,4.25
7,8.0001,2026-07-17 21:49:44,1,0,Interleaved_Jamming_Attack,1,0,2
7,8.0001,2026-07-17 21:49:44,12,0,Split_Path_Attack,1,0,1
7,8.0001,2026-07-17 21:49:44,30,0,Interleaved_Jamming_Attack,1,0,0.75
7,8.0001,2026-07-17 21:49:44,41,0,Split_Path_Attack,1,0,2
7,8.0001,2026-07-17 21:49:44,75,0,Interleaved_Jamming_Attack,1,0,1
7,8.0001,2026-07-17 21:49:44,111,0,Interleaved_Jamming_Attack,1,0,2
7,8.0001,2026-07-17 21:49:44,122,0,Flow_Stretching_Attack,1,1,2
7,8.0001,2026-07-17 21:49:44,130,0,Interleaved_Jamming_Attack,1,0,2
7,8.0001,2026-07-17 21:49:44,183,0,Split_Path_Attack,1,0,2
