time_s,tp,tn,fp,fn,dr,fpr,precision,f1,mcc,atk_error_m,rsr,amsr,i_leak,mcar,nsd,detection_ms,hausdorff_m,dtw_m,poi_retention
66.5000,7,188,12,73,0.0875,0.0600,0.3684,0.1414,0.0494,266.8484,0.9125,0.0875,0.5553,0.9400,0.6558,24.5919,266.8484,254.8484,0.7326
67.0000,15,187,13,65,0.1875,0.0650,0.5357,0.2778,0.1845,268.4333,0.8125,0.1875,0.5526,0.9350,0.6858,23.4001,268.4333,256.4333,0.7482
67.5000,12,192,8,68,0.1500,0.0400,0.6000,0.2400,0.1930,273.9847,0.8500,0.1500,0.5434,0.9600,0.6900,26.4744,273.9847,261.9847,0.7432
68.0000,14,189,11,66,0.1750,0.0550,0.5600,0.2667,0.1901,270.2606,0.8250,0.1750,0.5496,0.9450,0.6883,27.1907,270.2606,258.2606,0.7529
68.5000,17,189,11,63,0.2125,0.0550,0.6071,0.3148,0.2372,270.0732,0.7875,0.2125,0.5499,0.9450,0.7008,22.4615,270.0732,258.0732,0.7374
69.0000,14,190,10,66,0.1750,0.0500,0.5833,0.2692,0.2017,266.2937,0.8250,0.1750,0.5562,0.9500,0.6917,25.3941,266.2937,254.2937,0.7311
69.5000,17,183,17,63,0.2125,0.0850,0.5000,0.2982,0.1763,269.3086,0.7875,0.2125,0.5512,0.9150,0.6808,25.0002,269.3086,257.3086,0.7261
70.0000,14,185,15,66,0.1750,0.0750,0.4828,0.2569,0.1483,272.2177,0.8250,0.1750,0.5463,0.9250,0.6750,24.4723,272.2177,260.2177,0.7285
70.5000,13,188,12,67,0.1625,0.0600,0.5200,0.2476,0.1624,263.5167,0.8375,0.1625,0.5608,0.9400,0.6808,27.6302,263.5167,251.5167,0.7489
71.0000,14,185,15,66,0.1750,0.0750,0.4828,0.2569,0.1483,268.3789,0.8250,0.1750,0.5527,0.9250,0.6750,23.7194,268.3789,256.3789,0.7454
71.5000,18,186,14,62,0.2250,0.0700,0.5625,0.3214,0.2201,271.5105,0.7750,0.2250,0.5475,0.9300,0.6950,22.6402,271.5105,259.5105,0.7494
72.0000,11,194,6,69,0.1375,0.0300,0.6471,0.2268,0.2034,263.3691,0.8625,0.1375,0.5611,0.9700,0.6925,22.6352,263.3691,251.3691,0.7306
72.5000,17,190,10,63,0.2125,0.0500,0.6296,0.3178,0.2487,262.0270,0.7875,0.2125,0.5633,0.9500,0.7042,24.6930,262.0270,250.0270,0.7461
73.0000,16,190,10,64,0.2000,0.0500,0.6154,0.3019,0.2335,262.2436,0.8000,0.2000,0.5629,0.9500,0.7000,24.2868,262.2436,250.2436,0.7509
73.5000,14,189,11,66,0.1750,0.0550,0.5600,0.2667,0.1901,273.5102,0.8250,0.1750,0.5441,0.9450,0.6883,22.7078,273.5102,261.5102,0.7409
74.0000,10,188,12,70,0.1250,0.0600,0.4545,0.1961,0.1091,265.7658,0.8750,0.1250,0.5571,0.9400,0.6683,25.5536,265.7658,253.7658,0.7394
74.5000,8,187,13,72,0.1000,0.0650,0.3810,0.1584,0.0600,262.6242,0.9000,0.1000,0.5623,0.9350,0.6567,24.9303,262.6242,250.6242,0.7289
75.0000,12,191,9,68,0.1500,0.0450,0.5714,0.2376,0.1801,262.1400,0.8500,0.1500,0.5631,0.9550,0.6867,26.6723,262.1400,250.1400,0.7271
75.5000,11,188,12,69,0.1375,0.0600,0.4783,0.2136,0.1275,269.3394,0.8625,0.1375,0.5511,0.9400,0.6725,22.3232,269.3394,257.3394,0.7407
