time_s,tp,tn,fp,fn,dr,fpr,precision,f1,mcc,atk_error_m,rsr,amsr,i_leak,mcar,nsd,detection_ms,consensus_ms,blocks,chain_valid
90.0000,62,185,15,18,0.7750,0.0750,0.8052,0.7898,0.7082,135.0000,0.2250,0.7750,0.2250,0.9250,0.8750,19.8385,0.4148,18,1
90.5000,57,188,12,23,0.7125,0.0600,0.8261,0.7651,0.6840,172.5000,0.2875,0.7125,0.2875,0.9400,0.8642,20.1855,0.3941,19,1
91.0000,56,189,11,24,0.7000,0.0550,0.8358,0.7619,0.6830,180.0000,0.3000,0.7000,0.3000,0.9450,0.8633,22.3688,0.3941,19,1
91.5000,55,189,11,25,0.6875,0.0550,0.8333,0.7534,0.6732,187.5000,0.3125,0.6875,0.3125,0.9450,0.8592,20.9813,0.3941,19,1
92.0000,57,192,8,23,0.7125,0.0400,0.8769,0.7862,0.7196,172.5000,0.2875,0.7125,0.2875,0.9600,0.8775,20.3905,0.3941,19,1
92.5000,48,193,7,32,0.6000,0.0350,0.8727,0.7111,0.6424,240.0000,0.4000,0.6000,0.4000,0.9650,0.8433,21.6884,0.3941,19,1
93.0000,59,192,8,21,0.7375,0.0400,0.8806,0.8027,0.7385,157.5000,0.2625,0.7375,0.2625,0.9600,0.8858,20.2213,0.3941,19,1
93.5000,63,189,11,17,0.7875,0.0550,0.8514,0.8182,0.7504,127.5000,0.2125,0.7875,0.2125,0.9450,0.8925,21.8096,0.3941,19,1
94.0000,58,195,5,22,0.7250,0.0250,0.9206,0.8112,0.7573,165.0000,0.2750,0.7250,0.2750,0.9750,0.8917,21.8935,0.3941,19,1
94.5000,58,193,7,22,0.7250,0.0350,0.8923,0.8000,0.7383,165.0000,0.2750,0.7250,0.2750,0.9650,0.8850,22.8947,0.3941,19,1
95.0000,56,185,15,24,0.7000,0.0750,0.7887,0.7417,0.6490,180.0000,0.3000,0.7000,0.3000,0.9250,0.8500,20.9508,0.3941,19,1
95.5000,58,186,14,22,0.7250,0.0700,0.8056,0.7632,0.6770,165.0000,0.2750,0.7250,0.2750,0.9300,0.8617,19.8685,0.3941,19,1
96.0000,55,190,10,25,0.6875,0.0500,0.8462,0.7586,0.6821,187.5000,0.3125,0.6875,0.3125,0.9500,0.8625,24.3711,0.3941,19,1
96.5000,51,189,11,29,0.6375,0.0550,0.8226,0.7183,0.6338,217.5000,0.3625,0.6375,0.3625,0.9450,0.8425,20.7950,0.3756,20,1
97.0000,55,191,9,25,0.6875,0.0450,0.8594,0.7639,0.6912,187.5000,0.3125,0.6875,0.3125,0.9550,0.8658,21.8477,0.3756,20,1
97.5000,56,196,4,24,0.7000,0.0200,0.9333,0.8000,0.7487,180.0000,0.3000,0.7000,0.3000,0.9800,0.8867,21.9256,0.3756,20,1
98.0000,58,185,15,22,0.7250,0.0750,0.7945,0.7582,0.6688,165.0000,0.2750,0.7250,0.2750,0.9250,0.8583,24.2900,0.3756,20,1
98.5000,58,195,5,22,0.7250,0.0250,0.9206,0.8112,0.7573,165.0000,0.2750,0.7250,0.2750,0.9750,0.8917,20.7191,0.3588,21,1
99.0000,61,195,5,19,0.7625,0.0250,0.9242,0.8356,0.7850,142.5000,0.2375,0.7625,0.2375,0.9750,0.9042,22.6940,0.3588,21,1
99.5000,56,193,7,24,0.7000,0.0350,0.8889,0.7832,0.7194,180.0000,0.3000,0.7000,0.3000,0.9650,0.8767,21.4920,0.3588,21,1
100.0000,53,189,11,27,0.6625,0.0550,0.8281,0.7361,0.6536,202.5000,0.3375,0.6625,0.3375,0.9450,0.8508,20.1311,0.3588,21,1
100.5000,57,187,13,23,0.7125,0.0650,0.8143,0.7600,0.6755,172.5000,0.2875,0.7125,0.2875,0.9350,0.8608,22.8146,0.3588,21,1
101.0000,51,189,11,29,0.6375,0.0550,0.8226,0.7183,0.6338,217.5000,0.3625,0.6375,0.3625,0.9450,0.8425,20.3091,0.3588,21,1
101.5000,54,194,6,26,0.6750,0.0300,0.9000,0.7714,0.7101,195.0000,0.3250,0.6750,0.3250,0.9700,0.8717,24.0588,0.3588,21,1
102.0000,59,189,11,21,0.7375,0.0550,0.8429,0.7867,0.7120,157.5000,0.2625,0.7375,0.2625,0.9450,0.8758,22.1486,0.3588,21,1
102.5000,56,191,9,24,0.7000,0.0450,0.8615,0.7724,0.7009,180.0000,0.3000,0.7000,0.3000,0.9550,0.8700,23.8110,0.3435,22,1
103.0000,56,188,12,24,0.7000,0.0600,0.8235,0.7568,0.6742,180.0000,0.3000,0.7000,0.3000,0.9400,0.8600,24.1214,0.3435,22,1
103.5000,53,195,5,27,0.6625,0.0250,0.9138,0.7681,0.7106,202.5000,0.3375,0.6625,0.3375,0.9750,0.8708,22.6924,0.3435,22,1
104.0000,60,189,11,20,0.7500,0.0550,0.8451,0.7947,0.7217,150.0000,0.2500,0.7500,0.2500,0.9450,0.8800,23.8418,0.3435,22,1
104.5000,54,188,12,26,0.6750,0.0600,0.8182,0.7397,0.6546,195.0000,0.3250,0.6750,0.3250,0.9400,0.8517,19.8376,0.3300,23,1
105.0000,54,187,13,26,0.6750,0.0650,0.8060,0.7347,0.6459,195.0000,0.3250,0.6750,0.3250,0.9350,0.8483,20.3182,0.3300,23,1
105.5000,56,188,12,24,0.7000,0.0600,0.8235,0.7568,0.6742,180.0000,0.3000,0.7000,0.3000,0.9400,0.8600,19.9731,0.3300,23,1
106.0000,58,192,8,22,0.7250,0.0400,0.8788,0.7945,0.7291,165.0000,0.2750,0.7250,0.2750,0.9600,0.8817,22.0800,0.3300,23,1
106.5000,61,193,7,19,0.7625,0.0350,0.8971,0.8243,0.7664,142.5000,0.2375,0.7625,0.2375,0.9650,0.8975,19.6922,0.3300,23,1
107.0000,56,184,16,24,0.7000,0.0800,0.7778,0.7368,0.6408,180.0000,0.3000,0.7000,0.3000,0.9200,0.8467,22.8279,0.3300,23,1
107.5000,61,188,12,19,0.7625,0.0600,0.8356,0.7974,0.7229,142.5000,0.2375,0.7625,0.2375,0.9400,0.8808,21.5554,0.3300,23,1
108.0000,52,190,10,28,0.6500,0.0500,0.8387,0.7324,0.6528,210.0000,0.3500,0.6500,0.3500,0.9500,0.8500,21.3743,0.3300,23,1
108.5000,53,189,11,27,0.6625,0.0550,0.8281,0.7361,0.6536,202.5000,0.3375,0.6625,0.3375,0.9450,0.8508,23.6389,0.3172,24,1
109.0000,58,191,9,22,0.7250,0.0450,0.8657,0.7891,0.7200,165.0000,0.2750,0.7250,0.2750,0.9550,0.8783,20.7943,0.3172,24,1
109.5000,61,191,9,19,0.7625,0.0450,0.8714,0.8133,0.7486,142.5000,0.2375,0.7625,0.2375,0.9550,0.8908,21.8788,0.3172,24,1
110.0000,53,188,12,27,0.6625,0.0600,0.8154,0.7310,0.6447,202.5000,0.3375,0.6625,0.3375,0.9400,0.8475,20.5431,0.3172,24,1
110.5000,52,184,16,28,0.6500,0.0800,0.7647,0.7027,0.6005,210.0000,0.3500,0.6500,0.3500,0.9200,0.8300,21.2814,0.3172,24,1
111.0000,66,192,8,14,0.8250,0.0400,0.8919,0.8571,0.8042,105.0000,0.1750,0.8250,0.1750,0.9600,0.9150,24.1756,0.3172,24,1
111.5000,48,193,7,32,0.6000,0.0350,0.8727,0.7111,0.6424,240.0000,0.4000,0.6000,0.4000,0.9650,0.8433,20.7006,0.3172,24,1
112.0000,58,191,9,22,0.7250,0.0450,0.8657,0.7891,0.7200,165.0000,0.2750,0.7250,0.2750,0.9550,0.8783,22.9216,0.3172,24,1
112.5000,60,191,9,20,0.7500,0.0450,0.8696,0.8054,0.7391,150.0000,0.2500,0.7500,0.2500,0.9550,0.8867,22.9511,0.3172,24,1
113.0000,57,193,7,23,0.7125,0.0350,0.8906,0.7917,0.7289,172.5000,0.2875,0.7125,0.2875,0.9650,0.8808,23.7328,0.3172,24,1
113.5000,72,191,9,8,0.9000,0.0450,0.8889,0.8944,0.8518,60.0000,0.1000,0.9000,0.1000,0.9550,0.9367,22.3048,0.3054,25,1
