node_id,reported_vx,reported_vy,derived_vx,derived_vy,spoof_dev
34,-7.040537,10.880829,-7.040319,10.880495,0.000398
35,0.000000,0.000000,-12.292943,0.870208,0.000100
36,-12.926873,-11.647143,-12.926787,-11.647043,0.000132
37,-0.007000,0.013985,-4.011386,7.402532,8.403912
38,0.000000,0.000000,-1.270000,-13.420000,0.000100
39,3.609745,-6.379549,3.608653,-6.377712,0.002137
40,0.063187,-0.125861,6.820132,-14.758646,16.117528
41,-11.310238,-0.470010,-11.304758,-0.469800,0.005485
42,0.000000,0.000000,-10.930000,0.670000,0.000100
43,0.000000,0.000000,-0.780702,-6.405759,0.000100
44,0.000000,0.000000,-2.301183,-6.693444,0.000100
45,0.000000,0.000000,-6.560000,3.430000,0.000100
46,0.000000,0.000000,10.690000,8.330000,0.000100
47,0.000000,0.000000,0.139948,5.325874,0.000100
48,11.822180,-0.430082,11.822122,-0.430124,0.000072
49,-18.780964,2.370717,-18.780420,2.372490,0.001855
50,7.750755,4.394758,7.750700,4.394728,0.000063
51,-13.785790,-11.897735,-13.785843,-11.897780,0.000070
52,-0.310151,-7.643710,-0.310050,-7.640934,0.002778
53,-1.481075,-7.515452,-1.481642,-7.518332,0.002936
54,-5.962096,8.933141,-5.957971,8.926959,0.007432
55,0.006992,-0.125861,11.202804,-0.409993,11.199416
56,-4.529692,9.239372,-4.527674,9.235253,0.004587
57,4.547010,-6.435767,4.545055,-6.432999,0.003390
58,7.729786,1.309964,7.729737,1.309953,0.000050
59,0.000000,0.000000,-5.430617,-1.810360,0.000100
60,-8.272822,-3.227200,-8.272039,-3.226895,0.000840
61,0.063187,-0.125861,8.438782,-12.108252,14.619449
62,9.189978,-0.019978,9.190580,-0.019985,0.000602
63,-4.595722,6.548232,-4.595959,6.548601,0.000438
64,-15.588288,-5.285535,-15.588605,-5.285645,0.000336
65,0.000000,0.000000,-0.200000,0.320000,0.000100
66,-17.623995,0.460104,-17.624329,0.460111,0.000334
67,0.000000,0.000000,2.770000,-0.990000,0.000100
68,1.910983,-0.125861,3.623875,-4.885209,5.058200
69,0.000000,0.000000,1.511067,7.065943,0.000100
70,-7.039886,-0.040011,-7.040091,-0.040017,0.000205
71,-14.812955,-6.897244,-14.812674,-6.897297,0.000286
72,-3.825777,0.179802,-3.828510,0.179933,0.002736
73,12.195459,10.814841,12.194395,10.813869,0.001441
74,-0.063187,0.125861,-1.680535,8.932819,8.954235
75,-14.195676,-2.029382,-14.195129,-2.029305,0.000553
76,9.808934,3.829584,9.804940,3.828023,0.004288
77,13.165578,11.905044,13.158588,11.898726,0.009422
78,-11.757692,-10.969188,-11.754396,-10.966010,0.004578
79,11.878219,10.749340,11.877846,10.749006,0.000501
80,-12.508352,0.539928,-12.507732,0.539896,0.000621
81,15.373985,-0.430114,15.374514,-0.430133,0.000530
82,-11.407039,0.259932,-11.406804,0.259925,0.000235
83,0.000000,0.083966,-3.030000,-5.940000,6.743076
84,-0.518531,-16.922057,-0.518203,-16.911363,0.010700
85,16.631556,-0.530058,16.631056,-0.530089,0.000500
86,0.000000,0.000000,14.500000,-2.830000,0.000100
87,0.000000,0.000000,-1.770000,-2.550000,0.000100
88,-0.006992,0.083966,-4.220646,9.941541,10.720385
