cycle,timestamp,flow_id,src,dst,from_node,to_node,delta_value
3,3.2985,1,70,68,70,1,0.033333
3,3.2985,1,70,68,70,67,0.033333
3,3.2985,1,70,68,70,155,0.033333
3,3.2985,1,70,68,70,251,0.033333
3,3.2985,1,70,68,70,41,0.033333
3,3.2985,1,70,68,70,198,0.033333
3,3.2985,1,70,68,70,111,0.033333
3,3.2985,1,70,68,70,75,0.166667
3,3.2985,1,70,68,71,46,1.0
3,3.2985,1,70,68,72,93,1.0
3,3.2985,1,70,68,73,271,0.166667
3,3.2985,1,70,68,73,197,0.166667
3,3.2985,1,70,68,73,94,0.166667
3,3.2985,1,70,68,73,36,0.5
3,3.2985,1,70,68,75,250,0.25
3,3.2985,1,70,68,75,3,0.75
3,3.2985,1,70,68,76,120,1.0
3,3.2985,1,70,68,78,259,1.0
3,3.2985,1,70,68,79,51,1.0
3,3.2985,1,70,68,82,159,1.0
3,3.2985,1,70,68,85,187,1.0
3,3.2985,1,70,68,88,271,1.0
3,3.2985,1,70,68,89,88,1.0
3,3.2985,1,70,68,93,170,0.333333
3,3.2985,1,70,68,93,268,0.666667
3,3.2985,1,70,68,94,271,1.0
3,3.2985,1,70,68,99,55,1.0
3,3.2985,1,70,68,102,72,1.0
3,3.2985,1,70,68,105,56,1.0
3,3.2985,1,70,68,108,258,1.0
3,3.2985,1,70,68,109,159,1.0
3,3.2985,1,70,68,110,198,1.0
3,3.2985,1,70,68,111,251,0.454545
3,3.2985,1,70,68,111,168,0.545455
3,3.2985,1,70,68,115,93,1.0
3,3.2985,1,70,68,118,111,1.0
3,3.2985,1,70,68,120,227,1.0
3,3.2985,1,70,68,121,62,0.285714
3,3.2985,1,70,68,121,261,0.285714
3,3.2985,1,70,68,121,6,0.428571
3,3.2985,1,70,68,122,198,1.0
3,3.2985,1,70,68,123,28,1.0
3,3.2985,1,70,68,124,259,1.0
3,3.2985,1,70,68,127,94,1.0
3,3.2985,1,70,68,129,68,0.111111
3,3.2985,1,70,68,129,257,0.333333
3,3.2985,1,70,68,129,162,0.555556
3,3.2985,1,70,68,130,1,1.0
3,3.2985,1,70,68,132,111,1.0
3,3.2985,1,70,68,136,236,1.0
3,3.2985,1,70,68,139,23,1.0
3,3.2985,1,70,68,140,67,1.0
3,3.2985,1,70,68,141,247,0.142857
3,3.2985,1,70,68,141,165,0.142857
3,3.2985,1,70,68,141,258,0.142857
3,3.2985,1,70,68,141,162,0.142857
3,3.2985,1,70,68,141,129,0.428571
3,3.2985,1,70,68,143,75,1.0
3,3.2985,1,70,68,146,68,0.333333
3,3.2985,1,70,68,146,170,0.666667
3,3.2985,1,70,68,148,227,1.0
3,3.2985,1,70,68,152,6,1.0
3,3.2985,1,70,68,153,93,1.0
3,3.2985,1,70,68,154,143,1.0
3,3.2985,1,70,68,155,111,0.2
3,3.2985,1,70,68,155,41,0.2
3,3.2985,1,70,68,155,251,0.6
3,3.2985,1,70,68,159,29,1.0
3,3.2985,1,70,68,162,68,0.111111
3,3.2985,1,70,68,162,268,0.333333
3,3.2985,1,70,68,162,257,0.555556
3,3.2985,1,70,68,163,146,1.0
3,3.2985,1,70,68,164,226,1.0
3,3.2985,1,70,68,165,257,1.0
3,3.2985,1,70,68,166,272,1.0
3,3.2985,1,70,68,168,152,0.153846
3,3.2985,1,70,68,168,121,0.153846
3,3.2985,1,70,68,168,62,0.153846
3,3.2985,1,70,68,168,261,0.153846
3,3.2985,1,70,68,168,6,0.153846
3,3.2985,1,70,68,168,250,0.230769
3,3.2985,1,70,68,170,68,1.0
3,3.2985,1,70,68,174,235,1.0
3,3.2985,1,70,68,175,246,1.0
3,3.2985,1,70,68,180,141,1.0
3,3.2985,1,70,68,182,59,1.0
3,3.2985,1,70,68,183,23,1.0
3,3.2985,1,70,68,184,73,1.0
3,3.2985,1,70,68,187,72,1.0
3,3.2985,1,70,68,188,111,1.0
3,3.2985,1,70,68,189,23,1.0
3,3.2985,1,70,68,192,48,1.0
3,3.2985,1,70,68,194,258,1.0
3,3.2985,1,70,68,195,123,1.0
3,3.2985,1,70,68,196,108,1.0
3,3.2985,1,70,68,197,79,1.0
3,3.2985,1,70,68,198,111,0.25
3,3.2985,1,70,68,198,251,0.25
3,3.2985,1,70,68,198,168,0.5
3,3.2985,1,70,68,226,26,1.0
3,3.2985,1,70,68,227,238,1.0
3,3.2985,1,70,68,228,105,1.0
3,3.2985,1,70,68,229,228,1.0
3,3.2985,1,70,68,235,236,1.0
3,3.2985,1,70,68,236,51,1.0
3,3.2985,1,70,68,237,136,1.0
3,3.2985,1,70,68,238,249,1.0
3,3.2985,1,70,68,239,3,1.0
3,3.2985,1,70,68,240,41,1.0
3,3.2985,1,70,68,241,111,1.0
3,3.2985,1,70,68,246,257,1.0
3,3.2985,1,70,68,247,129,1.0
3,3.2985,1,70,68,248,46,1.0
3,3.2985,1,70,68,249,260,0.142857
3,3.2985,1,70,68,249,78,0.142857
3,3.2985,1,70,68,249,124,0.142857
3,3.2985,1,70,68,249,248,0.142857
3,3.2985,1,70,68,249,79,0.428571
3,3.2985,1,70,68,250,261,0.454545
3,3.2985,1,70,68,250,249,0.545455
3,3.2985,1,70,68,251,262,0.133333
3,3.2985,1,70,68,251,121,0.2
3,3.2985,1,70,68,251,168,0.2
3,3.2985,1,70,68,251,6,0.2
3,3.2985,1,70,68,251,250,0.266667
3,3.2985,1,70,68,252,155,1.0
3,3.2985,1,70,68,257,68,0.222222
3,3.2985,1,70,68,257,14,0.333333
3,3.2985,1,70,68,257,268,0.444444
3,3.2985,1,70,68,258,21,0.166667
3,3.2985,1,70,68,258,269,0.166667
3,3.2985,1,70,68,258,129,0.166667
3,3.2985,1,70,68,258,257,0.5
3,3.2985,1,70,68,259,270,0.2
3,3.2985,1,70,68,259,180,0.2
3,3.2985,1,70,68,259,258,0.2
3,3.2985,1,70,68,259,141,0.4
3,3.2985,1,70,68,260,108,1.0
3,3.2985,1,70,68,261,5,0.0625
3,3.2985,1,70,68,261,139,0.125
3,3.2985,1,70,68,261,260,0.125
3,3.2985,1,70,68,261,197,0.125
3,3.2985,1,70,68,261,272,0.125
3,3.2985,1,70,68,261,73,0.125
3,3.2985,1,70,68,261,124,0.125
3,3.2985,1,70,68,261,36,0.1875
3,3.2985,1,70,68,262,121,1.0
3,3.2985,1,70,68,263,274,1.0
3,3.2985,1,70,68,268,68,0.090909
3,3.2985,1,70,68,268,170,0.090909
3,3.2985,1,70,68,268,146,0.181818
3,3.2985,1,70,68,268,40,0.181818
3,3.2985,1,70,68,268,14,0.454545
3,3.2985,1,70,68,269,72,0.166667
3,3.2985,1,70,68,269,162,0.166667
3,3.2985,1,70,68,269,115,0.166667
3,3.2985,1,70,68,269,93,0.166667
3,3.2985,1,70,68,269,268,0.333333
3,3.2985,1,70,68,270,269,1.0
3,3.2985,1,70,68,271,159,0.2
3,3.2985,1,70,68,271,109,0.8
3,3.2985,1,70,68,272,94,1.0
3,3.2985,1,70,68,273,152,1.0
3,3.2985,1,70,68,274,273,1.0
3,3.2985,1,70,68,279,72,1.0
3,3.2985,1,70,68,280,35,1.0
3,3.2985,1,70,68,281,10,1.0
3,3.2985,2,84,12,1,44,1.0
3,3.2985,2,84,12,2,273,1.0
3,3.2985,2,84,12,3,75,1.0
3,3.2985,2,84,12,5,3,1.0
3,3.2985,2,84,12,6,112,1.0
3,3.2985,2,84,12,22,62,1.0
3,3.2985,2,84,12,31,152,1.0
3,3.2985,2,84,12,38,154,1.0
3,3.2985,2,84,12,41,154,1.0
3,3.2985,2,84,12,44,12,0.25
3,3.2985,2,84,12,44,241,0.25
3,3.2985,2,84,12,44,123,0.5
3,3.2985,2,84,12,57,6,1.0
3,3.2985,2,84,12,62,121,0.111111
3,3.2985,2,84,12,62,168,0.111111
3,3.2985,2,84,12,62,193,0.111111
3,3.2985,2,84,12,62,262,0.111111
3,3.2985,2,84,12,62,112,0.111111
3,3.2985,2,84,12,62,152,0.111111
3,3.2985,2,84,12,62,6,0.333333
3,3.2985,2,84,12,64,152,1.0
3,3.2985,2,84,12,67,154,1.0
3,3.2985,2,84,12,70,140,1.0
3,3.2985,2,84,12,73,193,0.333333
3,3.2985,2,84,12,73,6,0.666667
3,3.2985,2,84,12,75,12,1.0
3,3.2985,2,84,12,84,126,0.064516
3,3.2985,2,84,12,84,272,0.096774
3,3.2985,2,84,12,84,2,0.096774
3,3.2985,2,84,12,84,31,0.096774
3,3.2985,2,84,12,84,64,0.096774
3,3.2985,2,84,12,84,284,0.096774
3,3.2985,2,84,12,84,57,0.096774
3,3.2985,2,84,12,84,62,0.096774
3,3.2985,2,84,12,84,152,0.096774
3,3.2985,2,84,12,84,273,0.16129
3,3.2985,2,84,12,94,57,1.0
3,3.2985,2,84,12,110,44,1.0
3,3.2985,2,84,12,111,154,1.0
3,3.2985,2,84,12,112,121,0.416667
3,3.2985,2,84,12,112,251,0.583333
3,3.2985,2,84,12,121,251,1.0
3,3.2985,2,84,12,122,1,1.0
3,3.2985,2,84,12,123,12,0.428571
3,3.2985,2,84,12,123,75,0.571429
3,3.2985,2,84,12,126,273,1.0
