time_s,tp,tn,fp,fn,dr,fpr,precision,f1,mcc,atk_error_m,rsr,amsr,i_leak,mcar,nsd,detection_ms,trust_score,cnn_conf
63.0000,62,187,13,18,0.7750,0.0650,0.8267,0.8000,0.7243,135.0000,0.2250,0.7750,0.2250,0.9350,0.8817,24.8129,0.6235,0.4335
63.5000,53,193,7,27,0.6625,0.0350,0.8833,0.7571,0.6909,202.5000,0.3375,0.6625,0.3375,0.9650,0.8642,22.7505,0.6305,0.4405
64.0000,58,190,10,22,0.7250,0.0500,0.8529,0.7838,0.7111,165.0000,0.2750,0.7250,0.2750,0.9500,0.8750,28.0174,0.6207,0.4307
64.5000,67,186,14,13,0.8375,0.0700,0.8272,0.8323,0.7647,97.5000,0.1625,0.8375,0.1625,0.9300,0.8992,23.8983,0.6151,0.4251
65.0000,62,189,11,18,0.7750,0.0550,0.8493,0.8105,0.7409,135.0000,0.2250,0.7750,0.2250,0.9450,0.8883,22.6293,0.6157,0.4257
65.5000,51,189,11,29,0.6375,0.0550,0.8226,0.7183,0.6338,217.5000,0.3625,0.6375,0.3625,0.9450,0.8425,23.9941,0.6486,0.4586
66.0000,54,194,6,26,0.6750,0.0300,0.9000,0.7714,0.7101,195.0000,0.3250,0.6750,0.3250,0.9700,0.8717,26.6414,0.6413,0.4513
66.5000,51,194,6,29,0.6375,0.0300,0.8947,0.7445,0.6816,217.5000,0.3625,0.6375,0.3625,0.9700,0.8592,27.8928,0.6334,0.4434
67.0000,64,188,12,16,0.8000,0.0600,0.8421,0.8205,0.7517,120.0000,0.2000,0.8000,0.2000,0.9400,0.8933,24.4279,0.6393,0.4493
67.5000,53,188,12,27,0.6625,0.0600,0.8154,0.7310,0.6447,202.5000,0.3375,0.6625,0.3375,0.9400,0.8475,23.4541,0.6166,0.4266
68.0000,55,185,15,25,0.6875,0.0750,0.7857,0.7333,0.6390,187.5000,0.3125,0.6875,0.3125,0.9250,0.8458,26.1245,0.6314,0.4414
68.5000,50,192,8,30,0.6250,0.0400,0.8621,0.7246,0.6521,225.0000,0.3750,0.6250,0.3750,0.9600,0.8483,27.2765,0.6144,0.4244
69.0000,60,189,11,20,0.7500,0.0550,0.8451,0.7947,0.7217,150.0000,0.2500,0.7500,0.2500,0.9450,0.8800,26.9514,0.6472,0.4572
69.5000,62,185,15,18,0.7750,0.0750,0.8052,0.7898,0.7082,135.0000,0.2250,0.7750,0.2250,0.9250,0.8750,22.5626,0.6220,0.4320
70.0000,53,184,16,27,0.6625,0.0800,0.7681,0.7114,0.6106,202.5000,0.3375,0.6625,0.3375,0.9200,0.8342,24.5542,0.6162,0.4262
70.5000,49,193,7,31,0.6125,0.0350,0.8750,0.7206,0.6522,232.5000,0.3875,0.6125,0.3875,0.9650,0.8475,22.4221,0.6306,0.4406
71.0000,49,190,10,31,0.6125,0.0500,0.8305,0.7050,0.6231,232.5000,0.3875,0.6125,0.3875,0.9500,0.8375,26.5198,0.6381,0.4481
